,Filters Applied,,,,,,,
,Status:,Fully & Part-Completed,,,,,,
,,,,,,,,
15,Do You Have Any Other Comments Regarding Your Dining Experience?,,,,,,,
,Total Responses:,382,,,,,,
,Not Answered:,0,,,,,,
,,,,,,,,
,----------------------,,,,,,,
,1,Service Seemed Rather Slow At Times.,,,,,,
,2,Had The 5 Course Tasting Menu - The Beef Course Was One Of The Nicest Courses Of Food We Have Eaten.,,,,,,
,5,We Had The 5 Course Gouret Tasting Menu As Part Of The Travelzoo Package Which Was Disapointing Due To The Size Of The Portions And The Order In Which The Corses Were Delivered  We Did Bring This To The Attention Of The Restaurant Manager And Two Complimenary Cheese Boards And A Glass Of Port Each Were Provided For The Four Of Us.,,,,,,
,6,We Had A Strange Dining Experience. We Ordered The Gin Fusion Menu And The Starter Arrived And Was Fantastic. We Then Waited More Than An Hour For Our Main  With Waiting Staff Giving Mixed Impressions Of Why That Was. One Staff Member Admitted The Main Chef Had Just Walked Out And That Waiting Staff Were Filling In  Which Was Rather Alarming. It Did Explain Our Mains  Which Were Mediocre At Best And Not As Listed On The Menu. When We Asked About This We Got Blank Expressions And No Real Apology. We Were Given An Extra Gin  Without Comment Or Explanation. We Did Ask For The Scallops Which Were Supposed To Accompany The Monkfish And We Did Then Receive These As A Side Between The Main And Dessert. The Desserts Were Fine But Not As Exciting As The Starter.  The Bill Was Not Included Within Our Final Checkout Bill But Wasn't Explained As We Did Query. We Assume It Was Because Of Our Disappointing Experience But It Would Have Been Appreciated If This Was Explained To Us  Rather Than Making Us Ask About Why It Wasn't There Which Wasn't The Most Comfortable Experience.   ,,,,,,
,7,We Felt Aspects Were Overpriced Eg Â£12 For 2 Scallops For A Starter,,,,,,
,10,Tasting Menu Was Okay But Portions Extremely Small.,,,,,,
,14,I Strongly Recommen To Have Music Playin In The Backgrond As The Silent In The Lobby And Restaurant Was Very Awkard: Silent = No Atmospehre - All Tables Dinners Could Hear All Tables Conversation Which End Up As Lack Of Intimassy In Each Table.,,,,,,
,18,The Value For Money Aspect Of The Dinner Was Debatable,,,,,,
,20,Dining Room Was Too Hot Although I Accept The Weather Has Been Unusually Hot.  The Breakfast Was Disappointing As Two Of My Choices Were Not Available.,,,,,,
,21,Really Superb!   I Have Dined In Several Michelin Starred Restaurants And This Was Equally As Good. I Am Surprised You Are Not Two Stars.,,,,,,
,22,Excellent Food  And Should Have A Michelin Star.,,,,,,
,25,We Had A Very Weird Choice Of Music Played To Us On The Night Of Our Dinner.  Unfortunately  Our Table Was Right Next To The Ipod Which Was Playing.  It Would Have Been Nicer And In My Opinion  More In Keeping With The High Standard Of Cuisine To Perhaps Have Chosen Classical.  It Was Strange At First  But We Got Used To It As The Evening Wore On.,,,,,,
