,Filters Applied,,,,,,,
,Status:,Fully & Part-Completed,,,,,,
,,,,,,,,
19,Was There Any Particular Member Of The Team You Would Like To Acknowledge And Why?,,,,,,,
,Total Responses:,346,,,,,,
,Not Answered:,0,,,,,,
,,,,,,,,
,----------------------,,,,,,,
,1,The Chap On Breakfast Duty On Our First Morning Deserved A Medal For Working On His Own So Hard  And With No Help.,,,,,,
,2,Everyone We Dealt With During Our Stay Were A Credit To Your Establishment.,,,,,,
,4,Jessica - Professional  Friendly  Well-Mannered. She Recommend Us To Visit Burford  Which Was A Wonderful Experience. Many Thanks  Jessica.,,,,,,
,12,Everyone We Came Across  Especially Dieder And Pete,,,,,,
,21,The Restaurant Waiters Were Exceptional,,,,,,
,24,The Young Lady At Reception,,,,,,
,25,On Entering The Gin Bar On Our First Evening  We Were In Need Of An Extra 2 Chairs.  One Of The Young Guys From Reception (Who Had Come To Take A Couple Of Logs) Was There And So I Asked Him If He Would Be Able To Organise The Chairs For Us As We Were Waiting To Be Seated.  He Told Me To Speak To The Bar Man (Who Already Had A Queue Of People And Was Very Busy) And Walked Away.  I Thought This Was A Tad Rude.   We Had To Wait 10 Minutes Before My Husband And Daughter Could Sit Down.  I Did Not Think It My Husband's Job To Cart 2 Chairs Over The Heads Of People Who Were Already Sitting Quietly Drinking In The Next Room.,,,,,,
,27,The Male Waiters In The Restaurant Were Fantastic.,,,,,,
,28,Staff Seemed Unsure Of Who Was Responsible For Aspects Of Our Service Requirements.,,,,,,
,31,The Receptionist Upon Arrival (Whose Name Escapes Us!),,,,,,
,32,Ana - Very Helpful Pre- Arrival The Head Waiter In The Evening Was Excellent - Frecnh Maybe  Didn't Catch His Name The Head Waiter In Breakfast (Wears A Suits - 40'S In Age I'd Say) Was Very Helpful And Attentive),,,,,,
,36,The Gentleman On Reception When We Left. He Was Apologetic About Our Toilet Smelling Of Urine And Seemed Genuine.,,,,,,
,42,The Young Woman On Reception In The Mornings Could Not Have Been More Helpful  And In Particular She Pointed Out  Quite Without Pressure From Me  That There Was A Room Discount For Single Occupancy. I Said That  Having Booked The Room In Good Faith At The Full Price  I Should Pay That Amount  But She Insisted  And Amended My Account. I Was Impressed And Grateful.,,,,,,
,44,Lewis Was Very Helpful With Our Booking And Was A Pleasure To Meet Him,,,,,,
,45,Service Was Flawless But Not In Your Face. Just Nice And Relaxed.,,,,,,
,46,We Don't Have Their Names But  (A) The Well Built Gentleman Who Carried Our Cases Uptstairs And  (B) The Maitre De In Charge Of The Dining Room,,,,,,
,48,The Lady On Reception During Our Stay. Extremely Friendly And Helpful. Always A Smile And Nothing Fazed Her. The Waiter On Our Last Morning At Breakfast. Really Pleasant And Attentive And Made A Good Start To Our Day.,,,,,,
,51,No,,,,,,
