,Filters Applied,,,,,,,
,Status:,Fully & Part-Completed,,,,,,
,,,,,,,,
8,Do You Have Any Other Comments Regarding Your Arrival And/Or Any Pre Arrival Contact?,,,,,,,
,Total Responses:,312,,,,,,
,Not Answered:,0,,,,,,
,,,,,,,,
,----------------------,,,,,,,
,2,Excellent. All The Efforts Of The Staff Were Much Appreciated.,,,,,,
,4,Easy Check-In  Friendly And Professional Staff. Special Thanks To Jessica  Who Was Very Wonderful.,,,,,,
,7,Very Pleasant And Helpful Both Before And During Our Stay,,,,,,
,12,All Very Friendly And Professional.,,,,,,
,18,All Was Good And Very Efficient,,,,,,
,22,Having Stayed Back In February Which We Thoroughly Enjoyed We Took Advantage Of A Emailed Special Offer. The Whole Experience Was Superb And The Food Was Amazing. Thank You So Much  We Hope To Come Again.  Mike Authers,,,,,,
,24,Even The Dog Thought It Was A Lovely Hotel,,,,,,
,27,Reception Was Organised And Efficient  But Not Necessarily Warm And Friendly,,,,,,
,28,I Had To Try Several Calls To Book The Private Dining Room  On Arrival Staff Had Differing Views On When We Could Use The Room. The Court Yard Needed Housekeeping Before Opening To Guests. Ordering Wine  Mineral Water And Requesting Menus  Came Slowly And Individually  At These Prices Service Needs To Be More Professional.,,,,,,
,32,Many Thanks For Uograding Us To A Suite Because It Was A Special Occasion  Much Apprecited.  We Will Certainly Return In The Furture.  The Bathroom Toilet Was Not Clean When We Arrived But As Soon As I Brought It To Receptionists Attention It Was Cleaned Right Away.,,,,,,
,36,The Waitress Who Served Us Our Evening Meal Was Unfriendly And Almost Rude. She Served Us Again The Following Day For Breakfast And Was Equally Grumpy Then. We Were Not The Only People Who Experienced Her Bad Mood! Also  The Toilet In Our Suite Smelt Quite Badly If Urine. We Mentioned It To Reception Who Assured Someone Would Come And Give The Loo A Clean But This Never Materialised  Consequently We Our Room Smelled Quite Strongly Of A Men's Urinal.,,,,,,
,42,It Was Not Clear From The Booking Website That There Was A Reduction For Single Occupancy.,,,,,,
,45,Hmm. You Kept Sending Me E-Mails Asking About My Experience Before I Had Actually Stayed!! No Big Deal Though.,,,,,,
,46,Because Of Our Age We Endeavour To Avoid Hotels That Do Not Provide An Elevator If Our Accommodation Is Upstairs.  We Failed To Check Whether This Was The Case.  However In The Instance Of Our Stay Your Receptionist Insisted That We Leave Our Suitcases In The Foyer And A Staff Member Delivered Them To Our Room For Which We Were Most Grateful.,,,,,,
,49,Resturant Staff Very Surly Especially The Breakfast 'Manager',,,,,,
,51,No Problems With Reception Staff,,,,,,
