,Filters Applied,,,,,,,
,Status:,Fully & Part-Completed,,,,,,
,,,,,,,,
22,Was There Anything Else That We Could Have Done To Enhance Your Overall Experience?,,,,,,,
,Total Responses:,314,,,,,,
,Not Answered:,0,,,,,,
,,,,,,,,
,----------------------,,,,,,,
,2,There Was A Small Error On The Bill On Checkout But This Was Rectified Promptly And Did Not Detract Form Our Overall Experience.,,,,,,
,4,None,,,,,,
,7,A Petty Comment But The Fire In The Reception Area Was Very Smoky And Smelly And  Filled Both The Reception And Sitting Area Behind With An Unpleasant Air- We Didnt Use The Sitting Area As A Consequence,,,,,,
,10,Tea And Coffee Making Facilities In The Room.,,,,,,
,18,Again Temperature Was The Problem - Understandable Due To Weather In Most Aspects Except That Money Was Paid For A 'Restful'  Night,,,,,,
,24,Bathroom Products Were Not Up To The Hotel I Thought,,,,,,
,25,We Were Disappointed With The Standard Of The Room We Were Allocated Given The Beautiful Pictures We Had Seen On The Internet.  The Study Was Very Small And We Struggled During The Day To Get A Seat For The 3 Of Us As People From The Public Were There Having Meetings Both Days Of Our Stay.  The Sofa In The Corridor Offered Alternative Seating But Was Opposite The Toilets So We Decided To Give It A Miss And Just Went Back To Our Room.  Our Room Was Clean But I Did Notice Cobwebs On The Ceiling.  It Would Be Good To Get Rid Of Those For Next Guests.  Overall We Had A Good Time.  The Staff Were Brilliant With The Exception Of That One Guy.  I'm Sorry I Did Not Get His Name.,,,,,,
,27,We Had Dinner As Part Of Our Package But Was Charged Another Â£10 For A Coffee And Tea At The End Of Our Meal.  We Thought This Would Be Either Served As Part Of The Meal Or If We Had Ordered It In Our Room  This Would Be Complimentary.,,,,,,
,31,The Breakfast Experience Described Above  And Which Coloured Our Overall Opinion.,,,,,,
,36,Cleaned The Toilet Properly And Had Happier More Friendly Wait Staff,,,,,,
,40,Not To Run Out Of Cooked Breakfast Items By 8.45 Am,,,,,,
,42,Make The Jam-Pots Less Sticky?  :-),,,,,,
,44,I Just Thought The Hotel Was Going To Be More Luxurious. Then Again The Other Rooms That Weren't Meant For Disabled People May Have Been More Luxurious.  As We Have No Disabilities The Room Was Not To Our Needs.,,,,,,
,49,Better Staff Training Ie Dirty Plates Left On Table When Serving Next Course Especially At Breakfast,,,,,,
,50,The Staff Need Better Training In The Restaurant.,,,,,,
,51,The Staff Level Either Need Increasing Or A Manager Needs To Be Around To Organise The Staff Better.,,,,,,
,52,Service Was Very Slow.,,,,,,
,54,No,,,,,,
